time,position_1,velocity_1,acceleration_1,jerk_1,position_2,velocity_2,acceleration_2,jerk_2
2.41,1.07893,0.675724,-0.289201,-0.64348,0.291181,-0.324897,-0.0521714,0.575493
2.42,1.08568,0.6728,-0.295613,-0.638897,0.28793,-0.32539,-0.0464097,0.576812
2.43,1.09239,0.669812,-0.301978,-0.634203,0.284674,-0.325825,-0.0406357,0.577975
2.44,1.09907,0.666761,-0.308296,-0.629398,0.281413,-0.326203,-0.0348507,0.578984
2.45,1.10573,0.663646,-0.314566,-0.624484,0.27815,-0.326522,-0.0290565,0.579837
2.46,1.11235,0.66047,-0.320786,-0.619458,0.274883,-0.326784,-0.0232545,0.580535
2.47,1.11893,0.657231,-0.326955,-0.614322,0.271614,-0.326987,-0.0174463,0.581078
2.48,1.12549,0.653931,-0.333072,-0.609076,0.268344,-0.327133,-0.0116335,0.581466
2.49,1.13201,0.65057,-0.339136,-0.60372,0.265072,-0.32722,-0.00581751,0.581699
2.5,1.1385,0.647148,-0.345146,-0.598253,0.261799,-0.327249,-5.32907e-15,0.581776
2.51,1.14496,0.643667,-0.3511,-0.592675,0.258527,-0.32722,0.00581751,0.581699
2.52,1.15137,0.640126,-0.356999,-0.586987,0.255255,-0.327133,0.0116335,0.581466
2.53,1.15776,0.636527,-0.36284,-0.581189,0.251985,-0.326987,0.0174463,0.581078
2.54,1.1641,0.63287,-0.368622,-0.57528,0.248716,-0.326784,0.0232545,0.580535
2.55,1.17042,0.629155,-0.374345,-0.56926,0.245449,-0.326522,0.0290565,0.579837
2.56,1.17669,0.625383,-0.380007,-0.56313,0.242185,-0.326203,0.0348507,0.578984
2.57,1.18292,0.621555,-0.385607,-0.55689,0.238925,-0.325825,0.0406357,0.577975
2.58,1.18912,0.617671,-0.391144,-0.55054,0.235669,-0.32539,0.0464097,0.576812
2.59,1.19528,0.613732,-0.396618,-0.544078,0.232418,-0.324897,0.0521714,0.575493
2.6,1.20139,0.609739,-0.402026,-0.537507,0.229171,-0.324347,0.0579191,0.574019
2.61,1.20747,0.605692,-0.407367,-0.530825,0.225931,-0.323739,0.0636513,0.57239
2.62,1.21351,0.601592,-0.412642,-0.524032,0.222697,-0.323074,0.0693664,0.570606
2.63,1.2195,0.597439,-0.417848,-0.517129,0.21947,-0.322352,0.0750629,0.568667
2.64,1.22546,0.593235,-0.422984,-0.510116,0.21625,-0.321573,0.0807392,0.566573
2.65,1.23137,0.58898,-0.42805,-0.502992,0.213038,-0.320737,0.0863938,0.564323
2.66,1.23723,0.584674,-0.433044,-0.495758,0.209835,-0.319845,0.0920251,0.561918
2.67,1.24306,0.580319,-0.437964,-0.488413,0.206642,-0.318897,0.0976316,0.559359
2.68,1.24884,0.575915,-0.442811,-0.480958,0.203458,-0.317892,0.103212,0.556644
2.69,1.25458,0.571463,-0.447583,-0.473393,0.200284,-0.316832,0.108764,0.553774
2.7,1.26027,0.566964,-0.452279,-0.465717,0.197121,-0.315717,0.114287,0.550748
2.71,1.26592,0.562418,-0.456897,-0.45793,0.19397,-0.314547,0.119778,0.547568
2.72,1.27152,0.557826,-0.461437,-0.450033,0.19083,-0.313322,0.125238,0.544232
2.73,1.27707,0.553189,-0.465898,-0.442026,0.187703,-0.312042,0.130663,0.540742
2.74,1.28258,0.548509,-0.470277,-0.433908,0.18459,-0.310709,0.136052,0.537096
2.75,1.28804,0.543784,-0.474575,-0.42568,0.181489,-0.309321,0.141404,0.533295
